ID,Company Name,Job Title,Location,Job Description,url
10,Arcadia,Data Engineer,Remote,"Arcadia is dedicated to happier, healthier days for all. We transform diverse data into a unified fabric for health. Our platform delivers actionable insights for our customers to advance care and research, drive strategic growth, and achieve financial success. For more information, visit arcadia.io. Why This Role Is Important To Arcadia The Arcadia Data Engineering team onboards and supports the data feed integrations between Client Claim and Clinical data management platforms and our Healthcare Solution Platform. Our customers are top Healthcare providers and payers, and we help them integrate their internal systems with our analytic platform. The Data Engineering team is responsible for the data architecture that drives the partnership with customers and other internal organizations to drive success through adoption of cutting edge analytic solutions that leverage new age technologies and best practices. Our Data Engineers require both SQL Database knowledge and design , along with multiple programing languages. As a Data Engineer, you will drive the successful development of solution architecture and the completion of data pipeline connectors that automate the flow of data between client Claim and Clinical data platforms and our analytic health solution platform. Your efforts will be critical to driving the long-term partnership between Arcadia and our customers. What Success Looks Like: In 3 months- Learn the different areas of the data connector life cycle, while having a working knowledge of the technical stacks , storage platforms , data models , and Dev. Cycle- Work within Data Engineering Scrum team- Set to work on new ingestion pipelines with full bandwidth available (as formal training will end) In 6 months- Properly contribute to scrum ceremonies and ceremonies within the dev cycles while successfully updating status and progress in Jira  - Work on higher level enhancement requests and ingestion pipelines- Ability to Deliver Data related Reviews to clients and other departments regarding code quality and test cases.- Set your own personal vision of development and career aspirations and set a working path forward with leadership to work on how we can help you attain those goals    In 12 months - Developing a range of data pipelines with varying complexity- Work with Product, Engineering or Implementation to build out tools for better data integration- Pick an SME (Subject Matter Expert) path for what excites you the most- Working on standardized data connector development",https://jobs.lever.co/arcadia/a245251f-5e8c-494f-a166-32bad5b4db2a
11,Arcadia Science,"Discovery Project Scientist, Computation and Analysis","Berkeley, California","A Bit About Us:We are Arcadia Science. Arcadia is a science company founded and led by scientists. Our mission is to transform evolutionary innovations into real-world solutions by openly developing more efficient, replicable, and sustainable ways to leverage the biology of diverse organisms. We expect scientists at Arcadia to openly publish their research in written form as clearly and expediently as possible to accelerate feedback and progress.The Opportunity:We are seeking a Project Scientist to join our Discovery Pilot team. The Pilot team aims to quickly identify and validate innovative approaches and biological topics that will allow us new biology to accelerate our basic and translational research.Discovery Project Scientists will run rapid pilots where the goal is to prototype computational or experimental tools and biological topics to accelerate biological discovery. Discovery Pilots drive the adoption of new technology within Arcadia and may also be a source of IP, licensing, and spin-outs.The Project Scientist will be expected to execute 4–5 pilots per year and should be able to identify key risks and optimize for “failing fast” so that they may pivot quickly between ambitious pursuits. At the end of each pilot, the Scientist will write up and publish their results. The ideal Project Scientist is capable of working independently but prefers to ideate and work as part of a highly collaborative and technically diversified team. At this time, we're looking for scientists with expertise in computation and data analysis applied to biological questions. However, given the pace and nature this work benefits from an overall nimble, generalist mindset.",https://jobs.lever.co/arcadiascience/8f7e7a55-498f-44ef-9033-94c2cfc9924a
12,Arcadia Science,"Discovery Scientist, Protein Designer","Berkeley, California","A Bit About Us:We are Arcadia Science. Arcadia is a science company founded and led by scientists. Our mission is to transform evolutionary innovations into real-world solutions by openly developing more efficient, replicable, and sustainable ways to leverage the biology of diverse organisms. We expect scientists at Arcadia to openly publish their research in written form as clearly and expediently as possible to accelerate feedback and progress.The Opportunity:We are seeking a protein design expert to join our Discovery Platform team.  Arcadia’s Discovery Platform is inventing new approaches to studying biology with evolution as our guide. Our tools, methods, and frameworks probe the tree of life to identify innovations, novelties, and organisms that accelerate our basic and translational research.In this role, you’ll join a multi-disciplinary team focused on proteins. You’ll work to independently generate and execute on ideas to improve protein design, apply your ideas to new problems, and functionally evaluate the proteins you design. Your work in this role will help shape our scientific efforts at Arcadia. Enthusiasm for and participation in open science is also required as we routinely share our findings via our open-source Pubs and GitHub.Our ideal candidate should have deep knowledge of protein biology and hands-on experience related to protein design using biological insights and computational tools. It’s not required, but a major plus if you have in-lab experience, including but not limited to protein purification, biochemical assay development, and high throughput experimental design, to complement your computational expertise. If this sounds like you, please review the responsibilities and requirements below and consider submitting your application.",https://jobs.lever.co/arcadiascience/418faee7-d460-4a58-bf2f-b28536c2d818
13,Archive,Backend Engineer: Resale Intelligence,United States,"Join Archive in our mission to change consumer behavior for the better. If you think humans buy too much stuff and throw too much away, then this problem is for you. We’re starting with fashion and expanding from there. Archive is the leading technology platform for branded resale. The company works with more than 50 global brands including The North Face, Diane von Furstenberg and New Balance, to develop innovative resale programs that keep products out of landfill. This role offers the challenge of building highly scalable backend services that unlock deep insights for our customers about the full lifecycle of their goods. Help us build out the resale intelligence layer of our platform to keep these goods in use for longer.",https://jobs.lever.co/Archive/44555374-e3dd-4aa1-ba6d-2ccdf741d766
14,Athlete to Athlete,Back-End Software Engineer,"Santa Monica, CA","About Athlete to AthleteAthlete to Athlete is a fast-growing, venture-backed start-up based in Los Angeles that offers Athletic Mentorship Programs for youth athletes. In our programs, student-athletes are paired with a current Division 1 College-Athlete Mentor who plays their sport and can help build their confidence, taking their game to the next level. Our mission is to build the next generation of driven, confident, and resilient student-athletes through mentorship. About the RoleIn this position, you will be at the forefront of building and enhancing the digital backbone of Athlete to Athlete and a core member of our engineering team. As a Software Engineer with 2+ years of start-up experience, you will play a crucial role in developing innovative solutions that connect youth athletes with their mentors seamlessly. You will be focusing on the backend engineering of our platform. This role requires a deep understanding of back-end development, including server-side logic, database management, and API development. Your contributions will not only support the technical growth of our platform but also help shape the future of youth mentorship in sports. You will own projects from start to finish and immediately see your impact firsthand. With high exposure to many aspects of the business, you will be involved with the ins and outs of a startup and help build systems from the ground up. In addition, you will work closely with the sales and operations teams to effectively coordinate efforts across the company. This is an on-site position based in Los Angeles.",https://jobs.lever.co/athletetoathlete/32c55aa8-bdb7-4297-ac06-38d4a62dbd13
15,Atom Computing,Quantum Engineer,"Boulder, CO","At Atom Computing, we’re building quantum computers using arrays of optically trapped neutral atoms that will empower customers to achieve unprecedented computational breakthroughs. Join a world-class team of scientists, engineers, and business professionals to advance the state-of-the-art in quantum computing.We are looking for Quantum Engineers to work on all aspects of neutral atom quantum computing. As a Quantum Engineer at Atom Computing, you will join a team of talented scientists and engineers who are working to translate fundamental atomic physics to a scalable, fault-tolerant quantum computer. We welcome applicants from a diverse set of backgrounds, but are specifically interested in candidates with experience in the following fields: Trapping and manipulation of cold atoms; Coherent control of quantum systems (for example: neutral atoms, trapped ions, NV- centers, nuclear magnetic resonance, superconducting qubits); Quantum characterization, verification, and validation (QCVV) techniques.",https://jobs.lever.co/atomcomputing/5f63b880-f008-4132-ad5a-3f61cddcf406
16,Atom Computing,Laser Engineer,"Boulder, CO","At Atom Computing, we build quantum computers using arrays of optically trapped neutral atoms that will empower customers to achieve unprecedented computational breakthroughs. Join a world-class team of scientists, engineers, and business professionals to advance the state-of-the-art in quantum computing.We are seeking a Laser Engineer to help us manage and scale up our laser systems for our quantum computers, increasing reliability and performance.",https://jobs.lever.co/atomcomputing/ebb5ce35-0ce8-4d74-a16c-fe31f41143be
17,Atom Computing,Quantum Software Architect,"Boulder, CO","At Atom Computing, we build quantum computers using arrays of optically trapped neutral atoms that will empower customers to achieve unprecedented computational breakthroughs. Join a world-class team of scientists, engineers, and business professionals to advance the state-of-the-art in quantum computing.We are seeking a Quantum Software Architect to oversee the structure and behavior of the software stack that controls our quantum computer systems. This individual will work closely with the Director of Software, the CTO, and other stakeholders and domain experts across the company to build a long-term vision for how our software should operate in order to satisfy the needs of customers, system operators, and internal research teams.  The role includes the responsibility for leading technical roadmap planning, helping select appropriate technologies, and guiding and reviewing new feature development to ensure alignment with the long-term vision.  To be successful, this individual will need to develop a complete understanding of the journey a quantum circuit takes from customer-facing libraries and APIs down to the execution of commands on our quantum hardware.  This candidate will be expected to lead the evolution of our quantum computer from an architecture supporting simple job execution to one capable of executing dynamic, quantum-error-corrected circuits.Candidates will also be considered for Atom's location in Austin, TX and Berkeley, CA.  Under exceptional circumstances we may allow the position to be fully remote.",https://jobs.lever.co/atomcomputing/6b564869-9514-441c-8419-334519fbca58
18,Atomic,Founding Fullstack Engineer,"New York, NY / United States","About Us:Atomic is the venture studio that co-founds companies by pairing founders with the best ideas, teams, and resources, and funding those with the most potential. When entrepreneurs co-found with Atomic, they team up with an experienced group of operators who have started dozens of companies and created billions of dollars in enterprise value. Industry disruptors like Bungalow, Found, Hims and Hers, Homebound, OpenStore, and Replicant all started at Atomic along with dozens more. Atomic was founded in 2012 by serial entrepreneur Jack Abraham and has offices in NYC, Miami, and San Francisco with a distributed team across North America.Overview:We are building a company that supercharges recruiting workflows and will become a staple in every talent acquisition organization and search firm. Our beta product has been adopted by hundreds of recruiters with promising signals on a PLG sales motion and favorable retention metrics after only a few months.We’re seeking a product-driven, founding engineer to join our team. As a core member of our team, you will not only bring a track record of engineering expertise, but will also be a driver of projects and features that build into our product strategy and vision, finding and executing opportunities that have not explicitly been “assigned”.As one of our founding engineers, you'll help us deliver best-in-class software at start-up speed. With a test-and-learn mindset, you’ll architect solutions that are continuously improved through direct user feedback. Working directly with the founder, you'll lead our engineering efforts to develop software that improves the hiring process for candidates, recruiters, and hiring managers. Our Tech Stack: Next.js (Typescript), OpenNext, AWS (CDK), DynamoDB, Lambda, S3, EventBridge, CloudWatchThis role is based in NYC and is hybrid in-office 3-4 days a week.",https://jobs.lever.co/atomic/fa142365-c80d-4c71-b9bb-a91ebcd7387c
19,Attentive,"Software Engineer, Data",United States,"Attentive® is the AI-powered mobile marketing platform transforming the way brands personalize consumer engagement. Attentive enables marketers to craft tailored journeys for every subscriber, driving higher recurring revenue and maximizing campaign performance. Activating real-time data from multiple channels and advanced AI, the platform personalizes content, tone, and timing to help brands deliver 1:1 messages that truly resonate.With a top-rated customer success team recognized on G2, Attentive partners with marketers to provide strategic guidance and optimize SMS and email campaigns. Trusted by leading global brands like GUESS, Urban Outfitters, and Steve Madden, Attentive ensures enterprise-grade compliance and deliverability, supporting trillions of interactions across more than 70 industries. To learn more or request a demo, visit www.attentive.com or follow us on LinkedIn, X (formerly Twitter), or Instagram.Attentive’s growth has been recognized by Deloitte’s Fast 500, Linkedin’s Top Startups and Forbes Cloud 100 all thanks to the hard work from our global employees!Who we areWe are seeking a self-driven Software Engineer II to join our Business Intelligence Engineering team. On the BI Engineering team, you’ll help build and shape the backbone for analytics needs across the organization. You’ll work with Analysts, Data & ML Engineers, as well as other internal teams to define and shape self-service analytics and a data-driven organization.  You’ll support the relationship between the BI/Analytics, External Reporting, Product, Data Platform and domain engineering teams as we build out robust data solutions for our AI and Core Products.If you are a self-starter, excited about building a data-driven culture, and motivated by making an impact, then you may be a good fit for this role.",https://jobs.lever.co/attentive/2929e399-76a5-42ff-9253-63d53f1cf22e
20,BlackCloak,CyberSecurity Engineer,United States,"BlackCloak’s mission is to protect corporate executives and high-profile individuals in their personal lives, mitigating risks to their families, companies, reputation, and finances. We defend our clients’ digital lives from hackers, privacy leaks, and identity theft. If you are passionate about helping to protect others, then keep reading - this may be your next great opportunity. BlackCloak is currently looking for a proactive cybersecurity professional with a strong familiarity in EDR solutions, including but not limited to CrowdStrike Falcon, SentinelOne, Microsoft Defender for Endpoint, Carbon Black, and Sophos Intercept X. The CyberSecurity Engineer position is vital to our team as they will provide analysis to solve problems for our clients. If you have a genuine interest in cybersecurity and privacy, along with a strong drive to enhance your knowledge in these domains, this position presents an outstanding opportunity for advancing your cybersecurity career.This role primarily involves technical and incident response duties while providing subject matter expertise as needed. . You will be responsible for managing security incidents, collaborating with other teams to conduct post-incident remediation activities, performing incident response, analyzing threats, and conducting vulnerability assessments. If you possess exceptional client engagement skills, a deep understanding of security threats and attacks, and extensive experience in technical security roles, we strongly encourage you to submit your application.",https://jobs.lever.co/BlackCloak/d22e00fe-0e62-4a75-a01d-f0e4f75452be
21,Bright Machines,"Research Perception Scientist, Computer Vision and Machine Learning","San Francisco, California","RETHINK MANUFACTURING  The only way to ignite change is to build the best team. At Bright Machines®, we’re innovators and experts in our craft who have joined together to create a new category of manufacturing that will help transform the industry. We believe software and data are the answer, thoughtfully applied to solve our customers’ unique challenges. Through intelligent automation, we give factories newfound flexibility, scalability, and resilience. We deliver products to meet the demands of today while building a platform to take advantage of what comes next.  Working with us means you’ll have the opportunity to make lasting, impactful changes for our company and our customers. If you’re ready to apply your exceptional skills to create the factory of the future, we’d love to speak with you. ABOUT THE ROLEAs a Research Perception Scientist in the Robot Perception team at Bright Machines, you will be one of the key contributors to research new innovative algorithms up to a production software level that will launch industrial-strength advanced features for the Bright Robotic Cells.We are seeking highly skilled, highly motivated research scientists to join us. As member of the perception team, your primary job is to do research and develop cutting-edge solutions, technologies and algorithms in the field of computer vision and machine learning, solving the greatest challenges in the industrial automation domain. You will design, develop and deliver solutions using state-of-the-art algorithms, leveraging research from academia and industry. You will have opportunity to work with several other scientists, as well as university and attends conferences to meets other researchers. With your teammates. you will participate to brainstorming session where you will provide your expertise and contribute to publications and patents.",https://jobs.lever.co/brightmachines/d555d21a-6a24-4f9c-98f8-b3188b7cfb4a
22,Bright Machines,Perception Research Engineer,"San Francisco, California","RETHINK MANUFACTURING  The only way to ignite change is to build the best team. At Bright Machines®, we’re innovators and experts in our craft who have joined together to create a new category of manufacturing that will help transform the industry. We believe software and data are the answer, thoughtfully applied to solve our customers’ unique challenges. Through intelligent automation, we give factories newfound flexibility, scalability, and resilience. We deliver products to meet the demands of today while building a platform to take advantage of what comes next.  Working with us means you’ll have the opportunity to make lasting, impactful changes for our company and our customers. If you’re ready to apply your exceptional skills to create the factory of the future, we’d love to speak with you. ABOUT THE ROLEAs a Perception Research Engineer in the Robot Perception team at Bright Machines, you will be a hands-on contributor to the development and deployment of industrial strength robot-based automation with 3D-vision system for navigation and visual-validation on the Bright Robotic Cells.As a member of this team, you will develop, maintain and improve the Bright Machines Perception platform and applications. The platform provides the core components & tools needed to support experimentation, verification, monitoring and deployment of 3D Vision and ML models in production. You will design, develop highly automated verification and validation pipelines, with Bright Robots in the loop, to help release features of highest quality using Agile best practices. You will have the opportunity to work with the service engineering team to deploy these advanced vision-based solutions and work closely with the both internal and external stake holders to ensure successful roll-out of our products, as-well-as help define and influence the future product roadmap.",https://jobs.lever.co/brightmachines/0b7a6db5-5a6e-4688-b179-82b9bc9bc53c
23,Brooks Running,Domain Architect,"US, Washington, Seattle","Who We Are:At Brooks, we believe movement is the key to feeling more alive. That’s why we’re driven to create gear and experiences that take people to the place that makes them feel more alive — whether it’s a headspace, a feeling, or a finish line.  Everyone who works at Brooks is propelled by a company culture that sparks excitement, fuels collaboration, inspires creativity, and ignites innovation. Our brand values help bond us together and drive our success:  ·       Runner First  We act in the best interest of the runner ·       Word is Bond  We do what we say we’ll do  ·       Champion Heart  We give our all in everything we do   ·       There is no “I” in RunWe stay generous with our humanity  ·       Keep MovingWe find ways to move every day, because joy is kinetic!  We welcome everyone from every walk of life looking to inspire others through the power of movement — because we’re all moving towards something. Let’s run there.   Your Job: The Integration Domain Architect develops and supports the implementation and adoption of Brooks' enterprise integration guidelines, services, development, and support practices. You will be accountable for ensuring these practices align with our Enterprise Architecture principles and guidelines, and Brooks' immediate and longer-term business objectives.  The integration needs at Brooks are primarily focused on connecting on-premises and cloud-hosted commercial software applications within our technology ecosystem and working with data partners to align on appropriate ways to provide data as a service to both internal and external consumers. This individual is also responsible for developing and maintaining an integration architecture blueprint, including a catalog of integrations and integration services for the organization.NOTE: This position is located in Seattle, WA.",https://jobs.lever.co/brooksrunning/94ab1bd8-e088-48a4-86fb-5aebba7066dc
